Review,hasil_akhir,Sentimen
Hp ku sudah tak kuattt 😵‍💫😵‍💫😵‍💫,ponsel ku tidak kuattt,negatif
permainan baik,main baik,positif
permainan nya saya suka,main nya suka,positif
Kenapa saya tidak bisa login dengan akun google saya,masuk akun google,negatif
Bisakah menambahkan bahasa Indonesia? Saya kurang pandai dalam bahasa Inggris🥲,bisa tambah bahasa indonesia kurang pandai bahasa inggris,negatif
mantap,mantap,positif
Tolong buatkan transkripsi indo nya,buat transkripsi indonesia nya,negatif
"gak kikir, pengembang nya baik",tidak kikir kembang nya baik,positif
Katanya permainan baik gak kek sebelah kok pemain baru 8x pull ampas,kata main baik tidak seperti belah kok main baru kali pull ampas,negatif
bagussss pls canon kl mc nya cowo,bagussss pls canon kalau karakter utama nya cowo,negatif
Di hp gua eleg bngt trs gambar ya GK jernih,ponsel saya eleg banget terus gambar tidak jernih,negatif
Tidak ada bahasa indonesia,bahasa indonesia,negatif
permainannya pembaruan mulu perasaan,main baru terus asa,negatif
keren,keren,positif
Optimalisasi,optimalisasi,negatif
Apalah hard pity mulu kuro,apa hard pity terus kuro games,negatif
"Asli permainan nya bagus, gw dah cocok sama permainan nya tapi gw susah banget gacha Phoebe (istri gw) tolong lah di permudah 😭 . Apalagi gw main permainan nya pake wifi busuk lagi tiap main permainan nya 999 jaringan nya dan kadang keluar sendiri dari permainan nya, pernah tuh pas lawan bos nya terus lag (karena jaringan) abis itu kelaur deh dari permainan nya... Giliran gw nemu permainan yg sesuatu sama gw ko ada aja kendala nya 😭😭😭",asli main nya bagus saya sudah cocok sama main nya saya susah banget gacha phoebe istri saya lah mudah saya main main nya pakai wifi busuk tiap main main nya jaring nya kadang keluar sendiri main nya pernah itu pas lawan bos nya terus lag jaring habis laur deh main nya gilir saya nemu main yang sama saya kok saja kendala nya,negatif
banyak tobrut cik😁,banyak tobrut cik,negatif
Trimakasih permainan baik,terima kasih main baik,positif
"Tiap login jaringan selaluu merah, padahal wifi gw lancar pol mau login ke permainan lain lancar aja cuma di wuwa penundaan parah. Gabisa main deh",tiap masuk jaring selalu merah padahal wifi saya lancar pol mau masuk main lancar saja hanya wuthering waves tunda parah tidak bisa main deh,negatif
aku cinta wutheringwave,saya cinta wutheringwave,positif
"Kameranya geter, dan masalah koneksi Pokoknya tolong perbaiki masalah kamera,sering tutup paksa sendiri, penundaan parahh, tiap pembaruan patch fps jatuh parah ga stabill",kamera geter masalah koneksi pokok baik masalah kamera sering tutup paksa sendiri tunda parahh tiap baru patch bingkai jatuh parah tidak stabill,negatif
"GUYS HRS MAIN permainan INI SAMBIL NUNGGU permainan SEBELAH RILIS NATLAN😍 i'm really really love this permainan walaupun bahasa indonesia tidak ada saya tetap memahami cerita, but it'll be really baik to have indonesian languange, tapi tak apa aku masih suka game ini😚😚 game KURO tolong ADAIN KARAKTER CWO LAGI, KENAPA CHAR BARU SELALU WANITA?? SAYA JUGA MAU CHAR PRIA BARU",guys habib rizieq shihab main main nunggu main belah rilis natlan i m really really cinta this main walaupun bahasa indonesia tetap paham cerita but it ll be really baik to have indonesian languange tidak apa saya suka game game kuro games adain karakter cwo karakter baru selalu wanita mau karakter pria baru,positif
Hapus animasi loading di awal jika ada pembaruan kecil itu akan memakan waktu banyak mungkin 5 min jika tidak ada pembaruan di loading awal masuk ke permainan nya cepet aku berharap di hapus animasi loading untuk yang lain aman tidak ada kendala cuman di loading awal kalau ada pembaruan itu akan memakan banyak waktu untuk masuk ke permainan nnya dan membuat boring harus menunggu 3 min untuk masuk ke permainan,hapus animasi muat awal baru kecil makan waktu banyak mungkin minimal baru muat awal masuk main nya cepat saya harap hapus animasi muat aman kendala cuman muat awal kalau baru makan banyak waktu masuk main nnya buat boring tunggu minimal masuk main,negatif
"Semakin lama seperti kembali ke setelan awal dlu dimana lag optimalisasi selalu buruk, ketika ping saya tiba"" turun itu berpengaruh kepada penurunan bingkai dan itu aneh menurut saya di mana saya bermain tidak menggunakan cloud/apk tambahan. Lebih baik memikirkan optimalisasi dahulu di smartphone ketimbang acara",makin lama setel awal dulu lag optimalisasi selalu buruk ping tiba turun pengaruh turun bingkai aneh mana main guna cloud apakah tambah lebih baik pikir optimalisasi smartphone ketimbang acara,negatif
"Lama² pengen unpasang,masa sekali sebulan pembaruan terus pembaruan nya ga ngotak lagi ,19gb,20gb, mungkin seterusnya 100gb kali",lama ingin unpasang masa sekali bulan baru terus baru nya tidak ngotak gb gb mungkin gb kali,negatif
Nah ini baru permainan dunia terbuka👍🏻,nah baru main dunia buka,positif
"saya main dengan procesor unisoc t618 dan ram 6 GB bisa main di resolusi hight,fsr on,anti aliasing off tapi bisa main selancar ini, pengaturan yang lain selain itu di rata kiri, tips brightness mapnya semakin redup semakin bagus map nya meski tanpa shadow dan jangan hidupkan anti aliasing grafik nya jadi pixelated banget jadi lebih baik di matikan.",main procesor unisoc t ram gb main resolusi hight fsr on anti aliasing off main selancar atur rata kiri tips brightness map makin redup makin bagus map nya meski shadow jangan hidup anti aliasing grafik nya jadi pixelated banget jadi lebih baik mati,negatif
Grafik bagus ceritanya juga menarik cuma berat aja si permainan nya,grafik bagus cerita tarik hanya berat saja si main nya,negatif
"Sngt bgus, pengembang prihatin dgn pemain-pemainnya, bhkn menghargai feedback2 yg ad. Sistem gacha sngt baik pd gacha weapon :v no 50/50.. cmn yg kurang itu kebanyakan karakter resonator ceweknya、dn karakter resonator cowok hnya bs di hitung dgn jari. Sebaiknya jumlahnya di seimbangkan🧐🧐",sangat bgus kembang prihatin dengan main main bahkan harga feedback yang ada sistem gacha sangat baik pada gacha weapon v no hanya yang kurang banyak karakter resonator cewek dan karakter resonator cowok hanya bisa hitung dengan jari baik jumlah imbang,positif
Gk ada bahasa Indonesia nya,tidak bahasa indonesia nya,negatif
permainan nya bagus tapi tolong banget di tambahin bhs Indonesia soalnya aku kaga ngerti bahasa Inggris jadinya mau MQ susah,main nya bagus banget tambah bahasa indonesia soal saya tidak ngerti bahasa inggris jadi mau mq susah,negatif
"kemarin di 2.0 main lancar di grafis tinggi 60fps stabil sekarang habis pembaruan ke 2.1 jangankan di grafis tinggi di grafis ter rendah pun sering terjebak, penurunan bingkai, patah patahnya parah banget!! tolong untuk pengembangloper di perbaiki masalah ini!!",kemarin main lancar grafis tinggi bingkai stabil sekarang habis baru jangan grafis tinggi grafis ter rendah sering jebak turun bingkai patah patah parah banget pengembangloper baik masalah,positif
"kerja bagus pengembang, semoga sukses selalu permainan nya",kerja bagus kembang moga sukses selalu main nya,positif
"Optimalisasi permainannya masih busuk belum ada perubahan. Yang kata orang udah lancar nyatanya di hp gue masih sering membeku. Di bandingan dengan permainan sebelah zzz jauh peformanya, di zzz lancar banget padahal sama2 permainan baru dan di cap permainan berat",optimalisasi main busuk ubah kata orang sudah lancar nyata ponsel aku sering beku banding main belah zzz jauh forma zzz lancar banget padahal sama main baru cap main berat,negatif
Bagus pokoknya dah... 🫳🫴,bagus pokok sudah,positif
"permainannya udah bagus banget karena open wold,cerita juga bagus,saya berharap agar permainan ini lebih optimal lagi,tolong ditambahkan bahasa Indonesia agar lebih memahami ceritanya",main sudah bagus banget open wold cerita bagus harap main lebih optimal tambah bahasa indonesia lebih paham cerita,positif
kemren kuro lain kali buat karakter yang telanjang tolong,kemarin kuro games kali buat karakter telanjang,negatif
"Login nya ga jelas keluar masuk keluar masuk Mulu, trs pas masuk malah ngulang lagi unduh datanya. tolong lah penyimpanan ku udah lapang loh",masuk nya tidak jelas keluar masuk keluar masuk terus terus pas masuk malah ngulang unduh data lah simpan ku sudah lapang loh,negatif
"Terbaik! Hape gw yg masih bisa dibilang menengah kebawah ini (Realme 8) masih bisa TOA full star, 6/6 semua holo (termasuk hecate😋) dan bisa ngebantai semua acara (meskipun di Whimpering Wastes lag PARAH saat ganti wave, gw masih bisa sampe rank S stage final😏)",baik hape saya yang bilang tengah bawah realme toa full star semua holo masuk hecate ngebantai semua acara meski whimpering wastes lag parah ganti wave saya sampai rank tuju stage final,negatif
bagus banget,bagus banget,positif
Kurang optimal di ram 4/256 helio G99 dan jaringan tidak stabil,kurang optimal ram hio tidak jaring stabil,negatif
karakter nya mantabb,karakter nya mantabb,positif
"masih menunggu transkripsi indo, malas nyimak cerita kalo bahasa Inggris. Tidak peduli sama orang-orang yang bilang mINiMaL bElaJar BahASa inggris, gw mau nikmatin cerita buat bersenang senang 😒",tunggu transkripsi indonesia malas nyimak cerita kalaupun bahasa inggris peduli sama orang orang bilang minimal ajar bahasa inggris saya mau nikmatin cerita buat senang senang,negatif
Daleman 19GB ga kurang tuh?,dalem gb tidak kurang itu,negatif
"permainan bagus,tolong gacha gw wangii😐",main bagus gacha saya wangi,positif
Kasih bahasa Indonesia coi malas jadinya,kasih bahasa indonesia coi malas jadi,negatif
saya suka gerakan serangannya,suka gera serang,positif
Mayan cuma monsternya lama respown dan untung pemula mencari shell credit (uang) susah sekali,mayan hanya monster lama respown untung mula cari shell credit uang susah sekali,negatif
"permainan yang sangat memuaskan, saya hanya ingin memberikan saran agar menambahkan Pada opsi bahasa, mungkin bisa ditambahkan bahasa Indonesia karena banyak juga Player dari Indonesia yang memainkan permainan keren satu ini.",main sangat muas beri saran tambah opsi bahasa mungkin tambah bahasa indonesia banyak main indonesia main main keren satu,positif
sudah dowlond tapi hapus lagi karena bingung gk ada bahasa indonesia gak bs enjoy,dowlond hapus bingung tidak bahasa indonesia tidak bisa santai,negatif
Performa fps rata rata menurun yang rata rata 30fps jadi 15fps di exynos 2200 setelah pembaruan!,performa bingkai rata rata turun rata rata bingkai jadi bingkai exynos baru,negatif
Bagus,bagus,positif
sudah sangat bagus pada pembaruan sekarang,sangat bagus baru sekarang,positif
permainan Krisis karakter BINTANG 4,main krisis karakter bintang,negatif
Keren,keren,positif
"Sekali 10 pull langsung dapet luminous hymn,👍",sekali pull langsung dapat luminous hymn,positif
Tolong kalo pembaruan jangan kayak pasang ulang... Kalo di smartphone mungkin kecil ukuran nya kalo mau pembaruan tapi kalo di PC pembaruan kayak begitu terus berat juga... Jadi tolong di ubah dari sistem pembaruan nya aja sih biar gak kayak pasang ulang...,kalaupun baru jangan seperti pasang ulang kalaupun smartphone mungkin kecil ukur nya kalaupun mau baru kalaupun pc baru seperti terus berat jadi ubah sistem baru nya saja sih biar tidak seperti pasang ulang,negatif
"tolong, jgn jadi dead permainan. gua secinta itu sama wuwa 😭😭",jangan jadi dead main saya cinta sama wuthering waves,positif
permainan yg sangat bagus tetapi gacha ny membuat aku frustasi sering terkena rate off sbg pemain f2p,main yang sangat bagus gacha nya buat saya frustasi sering kena persentase off bagai main f bapak,negatif
"Anti kikir,peak desain char, absolute cinema permainan,baik qol. Laksekin akun gw lah",anti kikir peak desain karakter absolute cema main baik qol laksekin akun saya lah,positif
"Kuro, tambahkan visual effect di setingan grafiknya, soalnya main di android karakternya burik meski rata kanan!. Plus bahasa indonesianya, kok belum ada sampe sekarang?",kuro games tambah visual effect ting grafik soal main android karakter burik meski rata kanan plus bahasa indonesia kok sampai sekarang,negatif
"Gimana mau main, Kalo fps belum stabil astaga, gua kira udah bener pembaruan nya GK terlalu berat, ternyata sama aja aduh, bintang 2 dulu aja dah.",bagaimana mau main kalaupun bingkai stabil astaga saya kira sudah benar baru nya tidak terlalu berat nyata sama saja aduh bintang dulu saja sudah,negatif
"permainannya sangat memberi pengalaman ke pemain yang luar biasa,grafik oke, karakter oke, pokoknya top, pengembangnya sangat totalitas",main sangat beri alam main luar biasa grafik oke karakter oke pokok mantap kembang sangat totalitas,positif
NGELEK BANGET KONTOI UDAH PAKE WI FI TQPI MASIH NGELEK MANA UDAH RATA KIRI TAPI MASIH NGELEK LAGI INI permainan JELEK YANG GA BISA BIKIN SENANG PLAYERNYA SENDIRI.GIMANA ORANG MAU LOGIN TRUS LIATIN WAIFU/HUSBU TIAP HARI KALAU GRAFIKNYA AJA DIBIKIN SEBERAT MUNGKIN TOLONGLAH KURO KAMI YANG MAIN DI HP INI JADI MALAS LOGIN BUKAN KARENA GIMANA GIMANA TAPI YA MINIMAL GRAFIKNYA DI KECILIN KEK MIRIP DI permainan SEBELAH SETIDAKNYA MEREKA TAU SIZE/GRAFIK YANG COCOK UNTUK PLAYER YANG PAKAI HP,ngelek banget kontoi sudah pakai wi fi tqpi ngelek mana sudah rata kiri ngelek main jelek tidak bikin senang playernya sendiri bagaimana orang mau masuk terus lihat waifu husbu tiap hari kalau grafik saja bikin berat mungkin tolong kuro games main ponsel jadi malas masuk bukan bagaimana bagaimana minimal grafik kecilin seperti mirip main belah tahu size grafik cocok main pakai ponsel,negatif
ghaca ku masih ampas,ghaca ku ampas,negatif
"Untuk permainannya bagus, cuman sayangnya ngk ada bahasa indonesia",main bagus cuman sayang tidak bahasa indonesia,negatif
permainan baik,main baik,positif
permainan wa ahhhhhh,main saya ahhhhhh,positif
permainan baik,main baik,positif
bagus😎,bagus,positif
Lama vakum dikasih kalah rate off cih najis,lama vakum kasih kalah persentase off cih najis,negatif
Pengalam gue bermain wuwa disini mungkin atau orang lain juga ngerasa kali pas loading inpermainan itu di compling shaders padahal udh di unduh semua data tapi knp masih harus nunggu? Apa emang sistemnya nya yg seperti itu soalnya dulu gue g pernah ngalamin kek gini ya mungkin isa diperbaikin lah mungkin segitu aja sih dari gue kalo ada yg gk suka juga silahkan gue g ngelarang juga,alam aku main wuthering waves sini mungkin orang rasa kali pas muat inpermainan compling shaders padahal sudah unduh semua data kenapa nunggu apa memang sistem nya yang soal dulu aku tidak pernah ngalamin seperti begini mungkin isa diperbaikin lah mungkin segitu saja sih aku kalaupun yang tidak suka silah aku tidak larang,negatif
mantap sekali!,mantap sekali,positif
permainan bagus,main bagus,positif
tambahkan bahasa Indonesia,tambah bahasa indonesia,negatif
"Bagus, tinggal tiap pembaruan jangan makin gede lah",bagus tinggal tiap baru jangan makin besar lah,negatif
buat bahasa indonesianya,buat bahasa indonesia,negatif
Kerenn,kerenn,positif
permainan tidak kikir,main kikir,positif
Ngabisin kuota Nggak bisa dibuka 🫠,ngabisin kuota buka,negatif
permainan dunia terbuka terbaik menurut saya,main dunia buka baik,positif
kamu baik bangettt kuro lop u,kamu baik banget kuro games lop untuk,positif
nyedot data,nyedot data,negatif
Semakin kesini semakin baik permainan,makin kesini makin baik main,positif
Minta pengoptimalan nya dikit lagi buat spek low,minta optimal nya dikit buat spek low,negatif
keren,keren,positif
boleh lah permainan nya,lah main nya,positif
permainannya seru misi nya punya jalan ceritanya Masing-masing tolong jaringan nya diperbagus,main seru misi nya punya jalan cerita masing masing jaring nya bagus,positif
"sejauh ini permainan nya sudah bagus dari cerita, visual char, yah feedback dari saya mungkin bisalah di optimalkan lagi permainan nya supaya perangkat low-end juga bisa menikmati permainan nya dengan lebih baik",jauh main nya bagus cerita visual karakter yah feedback mungkin bisa optimal main nya perangkat low end nikmat main nya lebih baik,positif
permainan keren inimah,main keren inimah,positif
"langsung bad mood gw main ini permainan, gatcha ga pernah ada benernya, dibanding ama tmn gw yg lain kek anj banget perbandingannya 1 : 160 dia dikasih menang gatcha terus, gw gatcha udh 80 masih kalah rate off gatcha lagi perlu 80 lagi anjir, pls gitu klo habis kalah kasih low pity, capek anjir konten permainan udh selesai semua, cuma berharap dari pembaruan ama acara doang",langsung bad mood saya main main gatcha tidak pernah benar banding sama teman saya yang seperti anj banget banding kasih menang gatcha terus saya gatcha sudah kalah persentase off gatcha perlu anjir pls begitu kalau habis kalah kasih low pity capek anjir konten main sudah selesai semua hanya harap baru sama acara aja,negatif
"mantap, sedikit saran dan kemauan saya tolong adalan fitur reroll transkripsistat echo biar enak",mantap sedikit saran mau adalan fitur reroll transkripsistat echo biar enak,positif
Mantap,mantap,positif
"3000 premium tuner tidak menghasilkan hasil yang diinginkan,kelewatan AMPAS buang buang waktu",premium tuner hasil hasil ingin lewat ampas buang buang waktu,negatif
hp aku ngeleg tapi gappa ini seru kok gays😊🙃,ponsel saya ngeleg gappa seru kok gays,negatif
Terimakasih Kuro permainan aku udah berhasil mendapatkan karakter phope Semoga sehat selalu kurogames,terima kasih kuro games main saya sudah hasil dapat karakter phope moga sehat selalu kurogames,positif
"Untuk pengembang cuma mau bilang tolong tambahin transkripsi bahasa indonesia dong, untuk masalah permainan, cerita dan lain lain udah bagus banget kekurangannya sih diperangkat hp saya aja wkwk",kembang hanya mau bilang tambah transkripsi bahasa indonesia dong masalah main cerita sudah bagus banget kurang sih perangkat ponsel saja wkwk,positif
kekurangannya cuma gaada bhs indonya saja jadi kadang banyak cerita yg gak paham,kurang hanya tidak ada bahasa indonya jadi kadang banyak cerita yang tidak paham,negatif
bagus banget permainan nya,bagus banget main nya,positif
"Pertama kali main ketika patch 1.1 dan cukup puas si, improvisasi fitur in permainan di sana-sini dan hal yang disenangi dari saya adalah ketika pollingan pemain ditanggapi oleh pihak permainan, dan seharusnya pengembangan permainan lain butuh diterapkan ke permainan mereka. Ohh ya satu lagi gachanya juga ngak pelit rek 👍",pertama kali main patch cukup puas si improvisasi fitur in main sana sini nang pollingan main tanggap pihak main kembang main butuh terap main ohh satu gachanya tidak pelit rek,positif
Bagus gaca 10 kalo langsung dapat b5 wkekwkwkw,bagus gaca kalaupun langsung b wkekwkwkw,positif
permainan yang sangat saya tunggu dari Kuro Games... Sebagai pengguna android tolong optimalisasinya/bug di perhatikan... Terimah kasih :),main sangat tunggu kuro games main guna android optimalisasi bug perhati terimah kasih,positif
Gak bisa pakai controller,tidak pakai controller,negatif
Ping nya jelek banget. Udah pake server asean tetep jelek,ping nya jelek banget sudah pakai server asean tetap jelek,negatif
"baguss bangett, tpi kenapa yaa di aku quality nya udah tinggi bngt tapi masi belum bagus/burem wak, pdhl aku perangkat samsung 🥹",baguss banget tapi ya saya quality nya sudah tinggi banget masih bagus buram wak padahal saya perangkat samsung,negatif
permainan nya cukup bagus tapi sayang tidak ada bhs Indonesia,main nya cukup bagus sayang bahasa indonesia,negatif
Lebih bagus dari permainan tetangga. Hanya saja tolong tambahin bahasa Indonesia nya juga biar ngerti jalan alur cerita nya. Mohon di pembaruan segara,lebih bagus main tetangga tambah bahasa indonesia nya biar ngerti jalan alur cerita nya mohon baru segara,positif
"permainan ampas bikin hp cepat panas, udh gitu ga ada bhs indonya lagi, dalam perjalanan dead permainan",main ampas bikin ponsel cepat panas sudah begitu tidak bahasa indonya jalan dead main,negatif
"Keren banget tingkatkan kuro Terimakasih gacha chara dan weapon nya tidak pelit, sehat selalu permainan baik !!!",keren banget tingkat kuro games terima kasih gacha chara weapon nya pelit sehat selalu main baik,positif
permainan yac sangan bagus aku juga suka sama permainan yac,main yac sangan bagus saya suka sama main yac,positif
animasi bagus permainan permainan nya lumayan menarik seru dan tidak terlalu ribet,animasi bagus main main nya lumayan tarik seru terlalu ribet,positif
"permainan kikir,pelit amat bab1 udah brp kali gacha ga dpat² karakter 5 bntng",main kikir pelit bab sudah berapa kali gacha tidak dapat karakter bntng,negatif
permainan banyak bansos cuy,main banyak bansos cuy,positif
Setelah unduh ulang akun saya kok jadi login dri awal.. kuro.. akun sya hilang,unduh ulang akun kok jadi masuk dari awal kuro games akun saya hilang,negatif
"Belum coba sih cuma pas mau masuk ke permainan nya, harus unduh data 19gb an lebih,, gila mau maen jadi gak mod",coba sih hanya pas mau masuk main nya unduh data gb an lebih gila mau main jadi tidak mod,negatif
menurut saya bagus sih tapi permainan nya gabisa di masukin,bagus sih main nya tidak bisa masuk,negatif
"Mohon agar di sediakan untuk bahasa Indonesia,agar saya lebih paham alur2 cerita nya ,kalau bahasa inggris saya tidak paham misi apa yg harus saya cari di dalam penjelasannya karna pakai bahasa inggris dan saya jadi tidak tau alur alur cerita nya, mohon segera di perbaiki dan diperhatikan lagi untuk masalah bahasa ini,permainan ini bagus karna bisa di skip cerita nya agar lebih singkat waktunya ,kalau genshin kan tidak bisa di skip jadi agak lama nunggu ceritanya abis",mohon sedia bahasa indonesia lebih paham alur cerita nya kalau bahasa inggris paham misi apa yang cari jelas karena pakai bahasa inggris jadi tahu alur alur cerita nya mohon segera baik perhati masalah bahasa main bagus karena skip cerita nya lebih singkat waktu kalau genshin kan skip jadi lama nunggu cerita habis,negatif
Sangat bagus sayangnya gak ada b Indonesia🥲,sangat bagus sayang tidak b indonesia,negatif
"Makasih sudah bikin permainan sebagus ini di perangkat seluler, dari segi cerita,grafik, eksplorasi semuanya bagus ada keluhan sebagai Dev kalian cepat menanggapi / fast respon, semoga kedepannya lebih bagus lagi",makasih bikin main bagus perangkat seluler segi cerita grafik eksplorasi semua bagus keluh kembang kalian cepat tanggap fast respon moga depan lebih bagus,positif
kerennn,kerennn,positif
Bagus banget pengembang nya pun mendengar keluh kesah pemain,bagus banget kembang nya dengar keluh kesah main,positif
"Aneh nya grafik sudah di turun kan paling rendah/sesuai rekomendasi spesifik, tapi masih tutup paksa tapi kalau grafik tinggi tutup paksa agak berkurang dan hampir lancar, tapi tetep agak sering tutup paksa juga, jadi bingung gimana pengaturan grafik nya",aneh nya grafik turun kan paling rendah sesuai rekomendasi spesifik tutup paksa kalau grafik tinggi tutup paksa kurang hampir lancar tetap sering tutup paksa jadi bingung bagaimana atur grafik nya,negatif
Tombol skip cerita tidak konsisten muncul,tombol skip cerita konsisten muncul,negatif
Kok gabsa main pke wifi ya,kok gabsa main pakai wifi,negatif
"Bagus banget koh permainannya, aku suka banget apalagi zani yg bakal keluar di versi 2.3 nanti. Tolong berikan bansos astirite 4800 boleh lah biar makin sukes permainannya ;)",bagus banget koh main saya suka banget zan yang bakal keluar versi ikan bansos astirite lah biar makin sukes main,positif
Di genshin HP saya kuat mentok 50 fps di sini kok penurunan bingkai aneh,genshin ponsel kuat mentok bingkai sini kok turun bingkai aneh,negatif
mantap,mantap,positif
kenapa belum ada b.indonesia ya 👽 *Dari pengaturan grafik kok lbih panas ini permainan daripada inisial GI ya 🔥,b indonesia atur grafik kok lebih panas main inisial gi,negatif
coba lagi :),coba,negatif
MC nya gw bngt😎,karakter utama nya saya banget,positif
sangat bagus,sangat bagus,positif
Suka aja,suka saja,positif
mantap,mantap,positif
Mengecewakan! pembaruan ukuran besar cuma di beri Quest Fishing doang 🤣 Konyol!,kecewa baru ukur besar hanya beri misi fishing aja konyol,negatif
Tolong dikasih transkripsi indonesia....biar saya tidak skip cerita nya terus.tolong ya kurogames 😭😭,kasih transkripsi indonesia biar skip cerita nya terus kurogames,negatif
bagusss bangettt,bagusss banget,positif
Sangat bagus maa,sangat bagus maa,positif
"Orang orang ga ada bug giliran aku banyak bat, suka harus relog, kadang penundaan padahal jaringan bagus",orang orang tidak bug gilir saya banyak bat suka relog kadang tunda padahal jaring bagus,negatif
terimakasih permainan baik🥰🥰,terima kasih main baik,positif
"tolong pengembang, tambahkan terjemahan bahasa indonesia supaya membantu orang orang yang tidak terlalu lancar b inggris (contohnya saya) agar dapat menikmati cerita nyaa",kembang tambah terjemah bahasa indonesia bantu orang orang terlalu lancar b inggris contoh nikmat cerita nyaa,negatif
sudah instal data tetapi compiling shader lama sekali sudah berhari hari saya coba restart tetap saja tidak ter dowload full,instal data compiling shader lama sekali hari hari coba restart tetap ter dowload full,negatif
permainan nya sangat seru nggk nyesel deh unduh nya tapi saran saya sih kalo hp nya nggk tahan jangan di paksain saya aja cuman pake galaxy M15,main nya sangat seru tidak sesal deh unduh nya saran sih kalaupun ponsel nya tidak tahan jangan paksain saja cuman pakai galaxy m,positif
"Gilak mekanik nya sama efek keahliannya gak diragukan lagi,mewaaaah sekali😍gak pelit gacha aku rela isi ulang entar buat dapet Phoebe,ketimbang permainan sebelah males kali aku mainnya Wak😹",gila mekanik nya sama efek ahli tidak ragu mewaaaah sekali tidak pelit gacha saya rela isi ulang entar buat dapat phoebe ketimbang main belah malas kali saya main wak,positif
permainannya bagus banget hanya saja permainan ini belum sepenuhnya optimal,main bagus banget main sepenuh optimal,negatif
"keseluruhan bagus kok, dari cerita mekanik sama bagian eksplorasi tapi yg bikin males tuh kalau ada pembaruan pasti unduh nya dari awal, gak bisa kah kalau pembaruan itu langsung aja di tambahin berapa kayak misal mau ke 2.2 terus tambah 5-10gb gitu, ga usah ngulang dr awal unduh nya kayak aslinya nambah 5gban doang tapi jadinya harus unduh 19gb, soalnya lama banget harus nunggu segitu. Ga semua berwifi bagus dan punya kuota yg unlimited 😹",seluruh bagus kok cerita mekanik sama bagi eksplorasi yang bikin malas itu kalau baru unduh nya awal tidak kalau baru langsung saja tambah berapa seperti misal mau terus tambah gb begitu tidak perlu ngulang dari awal unduh nya seperti asli nambah gban aja jadi unduh gb soal lama banget nunggu segitu tidak semua berwifi bagus punya kuota yang unlimited,positif
"Sekedar saran saja, mungkin banyak pemain mau main permainan ini. Tapi masalahnya setiap pembaruan masa harus unduh dari awal kn lucu, failed besar lagi buang buang waktu aja. Makanya banyak pemain yg off dari permainan ini termasuk saya, padahal permainan udah cukup bagus",dar saran mungkin banyak main mau main main masalah baru masa unduh awal kan lucu gagal besar buang buang waktu saja makanya banyak main yang off main masuk padahal main sudah cukup bagus,negatif
KALO MENANG 50/50 GW LANJUT MAEN,kalaupun menang saya lanjut main,negatif
"Kurang optimal di mediatek dimensty 920. Setiap beberapa menit pasti tutup paksa kalo acara, sedangkan kalo tower pasti lancar ga pernah tutup paksa",kurang optimal mediatek dimensty beberapa menit tutup paksa kalaupun acara kalaupun tower lancar tidak pernah tutup paksa,negatif
"permainan nya bagus dan ramah untuk para f2p, tapi mines nya grafik nya gak ramah buat handphone menengah ke bawah😅",main nya bagus ramah f bapak mes nya grafik nya tidak ramah buat handphone tengah bawah,negatif
"permainan ok, cerita ok, grafik ok, keseluruhan sempurna... Di perlukan perangkat yg mumpuni untuk memainkan permainan ini, jadi tolong pihak pengembangloper perhatikan tentang ini, karena tidak semua pemain memiliki perangkat yg sepadan untuk memainkan permainan ini 😁 Dan perlu optimasi yg sangat banyak, dimana terkadang sering terjadi tutup paksa, layar hitam, ping yg tidak stabil,",main cerita grafik seluruh sempurna perlu perangkat yang mahir main main jadi pihak pengembangloper perhati semua main milik perangkat yang padan main main perlu optimasi yang sangat banyak terkadang sering jadi tutup paksa layar hitam ping yang stabil,positif
permainan tai,main tai,negatif
"permainan bagus yang mekanik nya menarik, sebagai pemain PGR saya suka dengan permainan ini juga",main bagus mekanik nya tarik main pgr suka main,positif
permainannya enak cuman kyk agak berat aja padahal pengaturan low di permainan sebelah setinggan high masih mumpuni ni hp,main enak cuman seperti berat saja padahal atur low main belah setinggan high mahir ini ponsel,negatif
ini permainan baik sangat la,main baik sangat la,positif
"Abis pembaruan versi 2.1 sinyalnya tidak stabil padahal main permainan lain sinyal hijau dan stabil , masa main seluler Letjend sinyal stabil hijau 10 ms, main wuthering wave sinyal meran 235ms malah naik turun sampe 999ms , mau batle aja buffering kek lagi nonton streaming",habis baru versi sinyal stabil padahal main main sinyal hijau stabil masa main seluler letjend sinyal stabil hijau masa main wuthering wave sinyal meran masa malah naik turun sampai masa mau batle saja buffering seperti nonton streaming,negatif
permainannya bagus pengembang ramah suka berbagi grafiknya juga memanjakan mata the best lah pokonya ga kaya permainan kikir impact cuma saya pengen ada bahsa Indonesia saja agar bisa lebih paham alur ceritanya 👍,main bagus kembang ramah suka bagi grafik manja mata the baik lah poko tidak seperti main kikir impact hanya ingin bahsa indonesia lebih paham alur cerita,positif
Aaahhh phoebeeeee,aaahhh phoebeeeee,positif
Kurang bahasa Indonesia saja min,kurang bahasa indonesia minimal,negatif
Karena echo transkripsi statnya jelek semua yg didapat dan dah mager bertani echo kalau yg didapat gak bagus,echo transkripsi statnya jelek semua yang dapat sudah mager tan echo kalau yang dapat tidak bagus,negatif
